種類,經濟成長率,失業率,,,,,,,,,,
重大竊盜,0.310918349,0.478841677,,,,,,,,,,
普通竊盜,0.341128294,0.338980232,,,,,,,,,,
汽車竊盜,0.34614665,0.476430994,,,,,,,,,,
機車竊盜,0.335365342,0.515698339,,,,,,,,,,
贓物,0.115376897,0.550891479,,,,,,,,,,
賭博,-0.321415167,-0.101380592,,,,,,,,,,
重傷害,0.238829976,0.475738542,,,,,,,,,,
一般傷害,-0.133402899,-0.313945273,,,,,,,,,,
詐欺,-0.148601716,-0.209101526,,,,,,,,,,
背信,-0.221126725,-0.562240924,,,,,,,,,,
重利,-0.130102978,0.357681012,,,,,,,,,,
妨害自由,-0.181001613,-0.539873307,,,,,,,,,,
