年度,重大竊盜,普通竊盜,汽車竊盜,機車竊盜,贓物,賭博,重傷害,一般傷害,詐欺,背信,重利,妨害自由
2002,472,99889,48925,191250,1023,2322,82,11315,0,0,673,2234
2003,352,99697,48373,182233,905,2408,110,9419,0,0,952,2183
2004,326,112818,50719,166457,866,2477,67,8051,0,0,948,1860
2005,396,148105,48992,130661,727,2445,45,9891,43023,158,1182,2819
2006,390,144513,33739,102919,1000,5266,46,11815,41352,133,2506,3335
2007,321,118393,31966,90411,1003,5512,45,12110,40348,208,3228,3854
2008,295,101335,28508,79213,1299,5490,31,11223,40963,256,3466,3799
2009,203,77659,19697,57592,1037,5782,37,11250,38802,350,3508,4097
2010,171,75820,17106,49677,1223,6155,25,12506,28494,406,2942,5053
2011,144,67436,11385,37866,1387,6837,28,13439,23612,464,2604,5876
2012,121,61220,8577,30346,1133,6943,35,12848,20421,515,2216,6215
2013,96,52579,6535,23286,1023,6417,28,12401,18772,762,2038,6161
2014,70,49476,6363,20421,1111,6204,25,11501,23053,760,1771,5985
2015,71,43478,5638,17068,666,6969,22,11119,21172,653,1909,6361
2016,37,38666,4500,14403,295,6798,23,11767,23175,819,1347,7136
2017,32,36825,3086,12082,246,6447,33,11676,22689,934,857,7391
2018,18,35652,2235,9686,173,4542,35,12221,23470,1115,473,8206
2019,33,34725,1456,6058,115,4858,20,13193,23647,995,669,8990
2020,30,31469,1006,4511,112,3175,21,12645,23054,1553,1200,9994
2021,16,30040,821,4190,73,2513,31,12686,24724,1344,614,11950
2022,28,33013,676,3953,67,3135,24,13948,29509,1367,856,14438
