表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別,,,,,,,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,,,,,,,,,,"Unit:Cases,Persons",
年別,,,,總計,竊　　盜 Larceny,,,,,贓物,賭博,傷害 Assult,,,"詐欺背信(1)Fraudulent,Breach of Trust",,,重利,妨害自由
,,,,,計,"重大
竊盜","普通
竊盜","汽車
竊盜","機車
竊盜",,,計,重傷害,"一般
傷害",計,詐欺,背信,,
Year,,,,Grand Total,Count,Serious Larceny,General Larceny,Motor Vehicle Theft,Motorcycle Theft,Stolen Property,Gambling,Count,Aggravated Assault,General Assault,Count,Fraudulent,Breach          of Trust,Usury,Interference with Personal Liberty
,,,,,,,,,,,,,,,,,,,
"民國 91年
2002","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"503,389","340,536",472,"99,889","48,925","191,250","1,023","2,322","11,397",82,"11,315","26,397",    －,    －,673,"2,234"
,,破獲數,Offenses Cleared by the Police,"297,816","179,164",286,"34,341","35,428","109,109","1,023","2,322","8,216",69,"8,147","4,809",    －,    －,656,"1,448"
,,嫌疑犯,Offenders,"185,751","40,721",569,"26,446","3,349","10,357","1,151","6,979","11,682",121,"11,561","4,707",    －,    －,607,"1,995"
"民國 92年
2003","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"494,755","330,655",352,"99,697","48,373","182,233",905,"2,408","9,529",110,"9,419","37,191",    －,    －,952,"2,183"
,,破獲數,Offenses Cleared by the Police,"290,962","178,280",216,"33,760","36,640","107,664",905,"2,408","6,995",99,"6,896","7,526",    －,    －,941,"1,300"
,,嫌疑犯,Offenders,"158,687","34,786",501,"23,438","2,721","8,126",881,"6,897","9,970",170,"9,800","5,754",    －,    －,589,"1,864"
"民國 93年
2004","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"522,305","330,320",326,"112,818","50,719","166,457",866,"2,477","8,118",67,"8,051","40,001",    －,    －,948,"1,860"
